dataset,dimension,degradation_level,repetition,miner,input_file,model_name,events_before,events_after,dropped_events,cases_before,cases_after,activities_before,activities_after,fitness,precision,generalization,simplicity,average_score,places,transitions,visible_transitions,hidden_transitions,unique_visible_transition_labels,duplicate_visible_transition_labels,arcs,pnml_path,visualization_path,pnml_saved,visualization_saved,visualization_error,pnml_error,status,error
bpi2019_1000,completeness,10,5,heuristics,data\degraded\completeness\completeness_10_r5.csv,bpi2019_1000_completeness_10_r5_heuristics,6089,6089,0,999,999,29,29,,0.7543936731107206,0.5294372016031375,0.4854111405835544,0.6712217123666948,61,122,29,93,29,0,280,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r5_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r5_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,10,5,inductive,data\degraded\completeness\completeness_10_r5.csv,bpi2019_1000_completeness_10_r5_inductive,6089,6089,0,999,999,29,29,,0.3752367583574498,0.7666716469380169,0.6341463414634145,0.6940136866897204,85,123,29,94,29,0,268,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_10_r5_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_10_r5_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,20,1,alpha,data\degraded\completeness\completeness_20_r1.csv,bpi2019_1000_completeness_20_r1_alpha,5413,5413,0,997,997,30,30,,0.5725806451612903,0.6768834374764905,0.361963190184049,0.4688094066290498,29,30,30,0,30,0,111,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r1_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r1_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,20,1,heuristics,data\degraded\completeness\completeness_20_r1.csv,bpi2019_1000_completeness_20_r1_heuristics,5413,5413,0,997,997,30,30,,0.8187066103229701,0.5724357757244211,0.4686716791979949,0.6779739794059929,65,122,30,92,30,0,293,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r1_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r1_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,20,1,inductive,data\degraded\completeness\completeness_20_r1.csv,bpi2019_1000_completeness_20_r1_inductive,5413,5413,0,997,997,30,30,,0.4119975541466868,0.7303960315820595,0.6000000000000001,0.6855983964321866,51,84,30,54,30,0,180,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r1_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r1_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,20,2,alpha,data\degraded\completeness\completeness_20_r2.csv,bpi2019_1000_completeness_20_r2_alpha,5415,5415,0,998,998,30,30,,0.6165853658536585,0.6282086955819182,0.4406779661016949,0.4992993052333773,22,30,30,0,30,0,85,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r2_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r2_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,20,2,heuristics,data\degraded\completeness\completeness_20_r2.csv,bpi2019_1000_completeness_20_r2_heuristics,5415,5415,0,998,998,30,30,,0.8026957490111747,0.5325225848774088,0.4734299516908213,0.6668403143779053,68,128,30,98,30,0,305,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r2_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r2_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,20,2,inductive,data\degraded\completeness\completeness_20_r2.csv,bpi2019_1000_completeness_20_r2_inductive,5415,5415,0,998,998,30,30,,0.3783401349383753,0.6907480686843235,0.5845410628019324,0.6634073166061578,44,77,30,47,30,0,164,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r2_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r2_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,20,3,alpha,data\degraded\completeness\completeness_20_r3.csv,bpi2019_1000_completeness_20_r3_alpha,5413,5413,0,996,996,30,30,,0.7427577440289022,0.6638365093641625,0.4561403508771929,0.5394403530692147,22,30,30,0,30,0,83,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r3_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r3_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,20,3,heuristics,data\degraded\completeness\completeness_20_r3.csv,bpi2019_1000_completeness_20_r3_heuristics,5413,5413,0,996,996,30,30,,0.8560817826052232,0.5151894716313568,0.4695863746958637,0.6757809269234877,68,125,30,95,30,0,302,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r3_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r3_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,20,3,inductive,data\degraded\completeness\completeness_20_r3.csv,bpi2019_1000_completeness_20_r3_inductive,5413,5413,0,996,996,30,30,,0.4483517529354381,0.7093099351172911,0.5967078189300411,0.6885923767456926,54,91,30,61,30,0,194,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r3_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r3_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,20,4,alpha,data\degraded\completeness\completeness_20_r4.csv,bpi2019_1000_completeness_20_r4_alpha,5412,5412,0,997,997,30,30,,0.8088940560964977,0.655094285885131,0.3544303797468354,0.5262235505130407,26,30,30,0,30,0,107,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r4_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r4_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,20,4,heuristics,data\degraded\completeness\completeness_20_r4.csv,bpi2019_1000_completeness_20_r4_heuristics,5412,5412,0,997,997,30,30,,0.7866853538892782,0.5401858168087548,0.4629629629629629,0.660688295222204,69,131,30,101,30,0,316,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r4_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r4_heuristics.png,True,True,,,ok,
